uk,Bitapukpuk,10,,-4.4,152.1666667
pg,bula-a,Bula-A,02,,-8.05,145.9166667
pg,bula,Bula,06,,-9.1166667,141.3333333
pg,bulamanong,Bulamanong,14,,-6.5666667,147.5
pg,bulam,Bulam,15,,-4.0166667,153.6833333
pg,bulamita,Bulamita,11,,-3.5833333,142.9
pg,bulantim,Bulantim,14,,-6.8833333,146.7666667
pg,bulantin,Bulantin,14,,-6.8833333,146.7666667
pg,bulawa,Bulawa,18,,-3.6333333,142.0333333
pg,bulawate,Bulawate,17,,-5.7333333,149.2833333
pg,bulawatni,Bulawatni,17,,-5.7333333,149.2833333
pg,bulayang,Bulayang,10,,-4.8833333,151.95
pg,bulcara,Bulcara,14,,-5.9,146.9333333
pg,bulekia,Bulekia,09,,-7.0333333,145.75
pg,buleyang,Buleyang,10,,-4.8833333,151.95
pg,bulgebi,Bulgebi,12,,-5.7,146.4166667
pg,bulidobu,Bulidobu,01,,-9.6433333,147.7777778
pg,bulidobura,Bulidobura,01,,-9.6333333,147.9833333
pg,bulidoburu,Bulidoburu,01,,-9.6333333,147.9833333
pg,bulihan,Bulihan,13,,-2.1,147.1833333
pg,bulihat,Bulihat,13,,-2.0166667,147.2166667
pg,buliva,Buliva,12,,-4.1,144.6833333
pg,bulla,Bulla,06,,-9.1166667,141.3333333
pg,bulldoburu,Bulldoburu,01,,-9.6333333,148.0
pg,bulldog,Bulldog,02,,-7.7833333,146.45
pg,buloleng,Buloleng,18,,-5.1166667,141.4
pg,bulolo,Bulolo,14,16042,-7.2,146.65
pg,bulowat,Bulowat,14,,-7.1,146.6333333
pg,bultem,Bultem,06,,-5.1666667,141.2666667
pg,bulu,Bulu,14,,-6.4,147.5166667
pg,bulu,Bulu,15,,-3.35,152.1166667
pg,bulu daba,Bulu Daba,17,,-5.0833333,150.0166667
pg,buludava,Buludava,17,,-5.0833333,150.0166667
pg,bulu doba,Bulu Doba,17,,-5.0833333,150.0166667
pg,buluma,Buluma,17,,-5.5333333,150.3166667
pg,bulumuri,Bulumuri,17,,-5.0166667,150.15
pg,bulu-murli,Bulu-Murli,17,,-5.0166667,150.15
pg,buluwara,Buluwara,17,,-5.2666667,149.95
pg,bulwa,Bulwa,14,,-7.1,146.6333333
pg,bulwat,Bulwat,14,,-7.1,146.6333333
pg,bulwatni,Bulwatni,17,,-5.7333333,149.2833333
pg,bumayong,Bumayong,14,,-6.65,147.0
pg,bumba,Bumba,14,,-6.0166667,145.8833333
pg,bumbarata,Bumbarata,04,,-8.8,148.15
pg,bumbera,Bumbera,12,,-4.6666667,144.5333333
pg,bumbin,Bumbin,06,,-5.5333333,141.1833333
pg,bumbu,Bumbu,12,,-5.8666667,146.5
pg,bumbu,Bumbu,14,,-6.05,147.1666667
pg,bumbum,Bumbum,14,,-6.0166667,145.8833333
pg,bumburata,Bumburata,04,,-8.8,148.15
pg,bumin,Bumin,15,,-3.1666667,151.6
pg,bumpat,Bumpat,12,,-4.75,145.9666667
pg,bunabufi,Bunabufi,12,,-4.5833333,145.5333333
pg,bunabun 1,Bunabun 1,12,,-4.5833333,145.5333333
pg,buna,Buna,04,,-8.6666667,148.4
pg,buna,Buna,18,,-3.9666667,141.2666667
pg,bunabun,Bunabun,12,,-4.5833333,145.5333333
pg,bunai,Bunai,13,,-2.2,147.2
pg,bunama,Bunama,03,,-10.15,151.15
