,Kirkovo,61,,43.1833333,26.8166667
bg,kolibi aldazhitu,Kolibi Aldazhitu,46,,42.8333333,25.5166667
bg,kolibi andreevo,Kolibi Andreevo,46,,42.8833333,25.3333333
bg,kolibi babastana,Kolibi Babastana,46,,42.8833333,24.7833333
bg,kolibi baevitsa,Kolibi Baevitsa,46,,42.9,24.1833333
bg,kolibi baivalevada,Kolibi Baivalevada,46,,42.9,24.9333333
bg,kolibi balabenskiya,Kolibi Balabenskiya,58,,42.9833333,24.0333333
bg,kolibi balantsu,Kolibi Balantsu,46,,42.7666667,25.4
bg,kolibi balintsu,Kolibi Balintsu,46,,42.9,24.8166667
bg,kolibi bankov dol,Kolibi Bankov Dol,46,,42.9166667,24.1666667
bg,kolibi bekriite,Kolibi Bekriite,46,,42.9333333,25.3166667
bg,kolibi beli ossam,Kolibi Beli Ossam,46,,42.85,24.6166667
bg,kolibi boazu,Kolibi Boazu,46,,42.8833333,24.95
bg,kolibi bobevtsi,Kolibi Bobevtsi,46,,42.95,25.3166667
bg,kolibi bodyat,Kolibi Bodyat,58,,42.6166667,23.9833333
bg,kolibi bolgarina,Kolibi Bolgarina,46,,42.9333333,24.9
bg,kolibi boril,Kolibi Boril,58,,42.5833333,24.0
bg,kolibi boychinovtsi,Kolibi Boychinovtsi,58,,42.5,23.8833333
bg,kolibi branevo,Kolibi Branevo,46,,42.8833333,24.8333333
bg,kolibi brezovitsa,Kolibi Brezovitsa,58,,42.5166667,23.8666667
bg,kolibi bugulunta,Kolibi Bugulunta,46,,42.8333333,24.9833333
bg,kolibi butrevi,Kolibi Butrevi,51,,42.0,23.8166667
bg,kolibi byalkovo,Kolibi Byalkovo,46,,42.95,25.2666667
bg,kolibi byeli osem,Kolibi Byeli Osem,46,,42.85,24.6166667
bg,kolibi byelyanovtsu,Kolibi Byelyanovtsu,58,,42.95,24.0833333
bg,kolibi chernevo,Kolibi Chernevo,46,,42.8833333,24.85
bg,kolibi cherni osem,Kolibi Cherni Osem,46,,42.8333333,24.75
bg,kolibi chernuy vid,Kolibi Chernuy Vid,46,,42.8833333,24.2
bg,kolibi chitakovts,Kolibi Chitakovts,46,,42.9333333,25.3
bg,kolibi dismanitsa,Kolibi Dismanitsa,46,,42.9,24.9333333
bg,kolibi dluga niva,Kolibi Dluga Niva,58,,42.4666667,23.9333333
bg,kolibi dobuevu,Kolibi Dobuevu,51,,42.0166667,23.8833333
bg,kolibi dolni kanoevu,Kolibi Dolni Kanoevu,51,,42.0166667,23.8333333
bg,kolibi dubrava,Kolibi Dubrava,51,,42.2333333,24.0166667
