obudze,Mats'kobudze,59,,54.5666667,23.1166667
lt,mikenu,Mikenu,64,,55.6833333,25.5
lt,mikeriai,Mikeriai,60,,55.6666667,25.1666667
lt,mikeryay,Mikeryay,60,,55.6666667,25.1666667
lt,mikery,Mikery,60,,55.6666667,25.1666667
lt,mikhalishki,Mikhalishki,60,,55.9,24.2333333
lt,mikhalishki,Mikhalishki,61,,55.5833333,23.5166667
lt,mikhalishkyay,Mikhalishkyay,61,,55.5833333,23.5166667
lt,mikhel'sakuten,Mikhel'sakuten,58,,55.4513889,21.3408333
lt,mikhnevo,Mikhnevo,59,,54.5166667,23.6666667
lt,mikhnishki,Mikhnishki,59,,54.3166667,23.4333333
lt,mikhnyuny,Mikhnyuny,56,,54.25,24.2833333
lt,mikieriai,Mikieriai,60,,55.6666667,25.1666667
lt,mikishe,Mikishe,56,,54.2,23.65
lt,mikitay,Mikitay,57,,55.0333333,23.5666667
lt,mikitay,Mikitay,62,,55.1216667,21.9502778
lt,mikity,Mikity,57,,55.0333333,23.5666667
lt,mikliunai,Mikliunai,57,,55.1333333,23.5
lt,miklusenai,Miklusenai,56,,54.4333333,24.0
lt,miklusenu,Miklusenu,56,,54.4333333,24.0
lt,miklusyany,Miklusyany,56,,54.4333333,24.0
lt,miknaichyay,Miknaichyay,60,,55.2166667,24.2333333
lt,miknaiciai,Miknaiciai,60,,55.2166667,24.2333333
lt,miknishki,Miknishki,57,,55.0166667,23.3333333
lt,miknishkyay,Miknishkyay,57,,55.0166667,23.3333333
