,Sehovici,02,,44.4791667,17.2058333
ba,skrebe,Skrebe,01,,44.7266667,18.2258333
ba,skrgici,Skrgici,01,,45.0508333,15.8280556
ba,skributace,Skributace,02,,43.5161111,18.7552778
ba,skriljevo,Skriljevo,01,,44.2063889,17.8625
ba,skrljani,Skrljani,02,,43.0238889,18.1605556
ba,skrljevita,Skrljevita,01,,44.7666667,16.7583333
ba,skrobe,Skrobe,01,,44.2386111,17.4605556
ba,skrobino brdo,Skrobino Brdo,01,,44.2547222,17.4655556
ba,skrobotno,Skrobotno,02,,42.7866667,18.4188889
ba,skrobucani,Skrobucani,01,,43.7736111,17.6344444
ba,skrte,Skrte,01,,43.9477778,17.4344444
ba,skrti,Skrti,01,,43.9477778,17.4344444
ba,skubinac,Skubinac,01,,44.2405556,17.9844444
ba,skucani,Skucani,01,,43.9916667,16.9227778
ba,skucani vakuf,Skucani Vakuf,01,,44.7838889,16.4588889
ba,skugric donji,Skugric Donji,02,,44.9025,18.3641667
ba,skugric gornji,Skugric Gornji,02,,44.9166667,18.3333333
ba,skugrici,Skugrici,02,,44.2341667,19.0580556
ba,skulji,Skulji,01,,44.2516667,17.5780556
ba,skulj,Skulj,01,,44.2447222,17.6052778
ba,skundrici,Skundrici,01,,44.6322222,16.2269444
ba,skutari,Skutari,01,,43.4372222,17.7511111
ba,slabinja,Slabinja,02,,45.1766667,16.64
ba,slabojev do,Slabojev Do,02,,43.3033333,18.2627778
ba,sladenovici,Sladenovici,02,,43.5441667,18.7177778
ba,sladna,Sladna,01,4304,44.7294444,18.4241667
ba,sladojevici,Sladojevici,02,,44.4472222,17.1144444
ba,slagoscici,Slagoscici,01,,44.2086111,18.1886111
ba,slamnjak,Slamnjak,01,,45.1725,15.7955556
ba,slanac,Slanac,01,,44.8144444,16.3744444
ba,slanac,Slanac,02,,44.735,17.3822222
ba,slanista,Slanista,02,,43.6108333,19.1980556
ba,slano,Slano,02,,42.7675,18.2322222
ba,slapasnica,Slapasnica,02,,44.2219444,19.3130556
ba,slapi,Slapi,02,,43.7886111,18.4141667
ba,slapnica,Slapnica,01,,44.0836111,18.1461111
ba,slapovic,Slapovic,02,,44.0813889,19.2541667
ba,slap,Slap,02,,43.9325,19.1736111
ba,slatina hidze,Slatina Hidze,02,,44.8252778,17.2986111
ba,slatina ildze,Slatina Ildze,02,,44.8252778,17.2986111
ba,slatina ilice,Slatina Ilice,02,,44.8252778,17.2986111
ba,slatina ilidza,Slatina Ilidza,02,,44.8252778,17.2986111
ba,slatina ilidze,Slatina Ilidze,02,,44.8252778,17.2986111
ba,slatina,Slatina,01,,43.705,17.7188889
ba,slatina,Slatina,02,,43.5455556,18.9141667
ba,slatina srednja,Slatina Srednja,02,,44.9486111,18.4902778
ba,slatina varos,Slatina Varos,02,,44.8252778,17.2986111
ba,slatinci,Slatinci,02,,44.8491667,17.7261111
ba,slatine,Slatine,01,,44.1816667,17.8166667
ba,slatinica,Slatinica,01,,43.5430556,18.2025
ba,slatkodo,Slatkodo,02,,43.0847222,18.0833333
ba,slato,Slato,02,,43.1666667,18.3
ba,slavatin,Slavatin,01,,43.8130556,17.8586111
ba,slavicici,Slavicici,01,,43.6283333,18.6952778
ba,slavicici,Slavicici,02,,44.6852778,17.5580556
ba,slavici,Slavici,01,,43.3594444,17.6930556
ba,slavici,Slavici,02,,44.8236111,16.9711111
ba,slavicka,Slavicka,02,,44.8236111,16.9711111
ba,slavigora,Slavigora,02,,43.2858333,18.6411111
ba,slavinjac,Slavinjac,01,,44.0266667,16.5986111
ba,slavinovici,Slavinovici,01,,44.5241667,18.7269444
ba,slavin,Slavin,01,,44.1233333,18.2616667
ba,slavkovici,Slavkovici,01,,43.8172222,17.8608333
ba,slavljevici,Slavljevici,01,,43.6972222,18.4838889
ba,slavogostici,Slavogostici,01,,42.7125,18.1133333
ba,slavovic polje,Slavovic Polje,02,,44.1711111,18.9897222
ba,slavuljice,Slavuljice,02,,44.6755556,17.8727778
ba,slavulji,Slavulji,02,,44.9297222,16.3772222
ba,slepcici,Slepcici,01,,43.2375,17.8091667
ba,slijepcevici,Slijepcevici,02,,44.2991667,17.0066667
ba,slijepcevici,Slijepcevici,BD,,44.8194444,18.9083333
ba,slimac,Slimac,01,,43.8397222,17.5541667
ba,slimena,Slimena,01,,44.2052778,17.6830556
ba,slipcevici,Slipcevici,01,,44.3991667,17.4080556
ba,slipcici,Slipcici,01,,43.2375,17.8091667
ba,slisci,Slisci,02,,44.9022222,18.0158333
ba,sliskovici,Sliskovici,01,,43.2858333,17.5019444
ba,sliskovic,Sliskovic,01,,44.1752778,18.4480556
ba,slivanj,Slivanj,01,,44.2097222,18.0802778
ba,sliva,Sliva,02,,42.8911111,18.4475
ba,slivice,Slivice,02,,43.0427778,18.5272222
ba,slivlja,Slivlja,02,,43.29,18.3530556
ba,slivlje,Slivlje,01,,43.8383333,18.2558333
ba,slivlje,Slivlje,02,,43.29,18.3530556
ba,slivne,Slivne,01,,44.1622222,18.735
ba,slivnica bobani,Slivnica Bobani,01,,42.7533333,18.0719444
ba,slivnica povrs,Slivnica Povrs,01,,42.6444444,18.2608333
ba,slivnica,Slivnica,01,,42.6444444,18.2608333
ba,slivnice,Slivnice,01,,44.1247222,18.0975
ba,slivnje,Slivnje,01,,44.1622222,18.735
ba,slivno,Slivno,01,,44.0247222,18.3277778
ba,slivorica,Slivorica,02,,43.1705556,18.6561111
ba,slivovica,Slivovica,02,,43.1705556,18.6561111
ba,sljedovici,Sljedovici,02,,43.7447222,19.0702778
ba,sljeme,Sljeme,02,,43.9472222,18.5197222
ba,sljepure,Sljepure,02,,44.3572222,18.9658333
ba,sljivaci,Sljivaci,01,,43.7247222,18.3461111
ba,sljive,Sljive,02,,44.6863889,17.8044444
